FDR,Accession,A2,B2
High,A0A0G2PMS1,33,18
High,A0A0H3NIB3,35,29
High,A0A0H3NH09,34,24
High,A0A0H3NNZ4,32,29
High,A0A0H3NCG3,27,20
High,A0A0H3NI82,27,20
High,A0A0H3NMG4,28,19
High,A0A0H3N9Z8,33,14
High,A0A0H3NEM4,20,18
High,A0A0H3NIZ3,24,16
High,A0A0H3N957,21,17
High,A0A0H3NNA2,20,14
High,A0A0H3NJI9,25,11
High,A0A0H3N950,20,15
High,A0A0H3NJF2,13,11
High,A0A0H3NIG9,18,17
High,A0A0H3NQV4,15,13
High,A0A0H3NKQ9,17,16
High,A0A0H3N962,16,16
High,A0A0H3NCF8,16,13
High,A0A0H3N9D1,14,14
High,A0A0H3NAW8,15,13
High,A0A0H3NT12,13,12
High,A0A0H3N916,15,13
High,A0A0H3NE44,11,10
High,A0A0H3NI94,14,9
High,A0A0H3N9T8,14,8
High,A0A0H3NVR3,14,14
High,A0A0H3NFQ6,14,11
High,A0A0H3NCD1,17,11
High,A0A0H3NEC2,12,11
High,A0A0H3NLV7,12,12
High,A0A0H3NMW4,13,10
High,A0A0H3NLM4,13,9
High,A0A0H3N7M4,10,8
High,A0A0H3NJ45,12,10
High,A0A0H3NCZ1,15,10
High,A0A0H3NBQ0,22,7
High,A0A0H3NCT0,9,8
High,A0A0H3NSB3,14,14
High,A0A0H3NAG7,14,14
High,A0A0H3N8E3,14,14
High,A0A0H3NIL3,11,11
High,A0A0H3NBG3,11,11
High,A0A0H3NIF1,14,13
High,A0A0H3NIE0,14,10
High,A0A0H3NMB1,10,9
High,A0A0H3NI01,11,10
High,A0A0H3NGS0,13,10
High,A0A0H3NE21,7,7
High,A0A0H3NN94,11,10
High,A0A0H3NID6,12,7
High,A0A0H3NDR3,14,13
High,A0A0H3NHN2,9,8
High,A0A0H3NHF2,11,11
High,A0A0H3NSU0,14,11
High,A0A0H3NJK0,9,9
High,A0A0H3NFY6,11,10
High,A0A0H3NIQ0,12,12
High,A0A0H3NFB3,12,12
High,A0A0H3NBL7,14,11
High,A0A0H3NA75,14,12
High,A0A0H3NKH8,14,14
High,A0A0H3NIN9,9,8
High,A0A0H3NIL5,9,8
High,A0A0H3NFL6,9,6
High,A0A0H3N9D6,6,6
High,A0A0H3NPM9,6,6
High,A0A0H3NAZ4,11,10
High,A0A0H3NRH8,12,11
High,A0A0H3NIX6,11,9
High,A0A0H3NFW3,9,8
High,A0A0H3NR16,12,11
High,A0A0H3NM77,9,9
High,A0A0H3NMU6,9,8
High,A0A0H3N9N5,10,7
High,A0A0H3ND82,13,13
High,A0A0H3NFR8,11,10
High,A0A0H3N884,11,10
High,A0A0H3NEM7,11,6
High,A0A0H3NFV7,11,9
High,A0A0H3N8D8,12,11
High,A0A0H3N9M7,12,9
High,A0A0H3NCM7,11,11
High,A0A0H3NI16,7,7
High,A0A0H3N7F3,8,8
High,A0A0H3NF48,9,9
High,A0A0H3NC48,7,7
High,A0A0H3NJ70,7,6
High,A0A0H3NFG7,8,8
High,A0A0H3NIG4,10,9
High,A0A0H3NGS5,9,6
High,A0A0H3NIM7,11,9
High,A0A0H3NC31,10,8
High,A0A0H3NJQ1,7,7
High,A0A0H3NBP3,5,5
High,A0A0H3NDK2,8,8
High,A0A0H3NTD0,10,9
High,A0A0H3NGG9,8,8
High,A0A0H3NE63,11,10
High,A0A0H3NDK6,11,9
High,A0A0H3NDW4,8,8
High,A0A0H3NGC8,10,10
High,A0A0H3NB12,9,9
High,A0A0H3NJ64,9,8
High,A0A0H3NIX1,9,9
High,A0A0H3NKT7,10,9
High,A0A0H3NMF0,9,8
High,A0A0H3NE47,7,7
High,A0A0H3NM65,8,7
High,A0A0H3NCY7,7,7
High,A0A0H3NEC8,10,8
High,A0A0H3NGQ1,5,5
High,A0A0H3N8Z5,8,8
High,A0A0H3NME1,10,8
High,A0A0H3NDL1,10,7
High,A0A0H3NKD1,9,8
High,A0A0H3NI69,8,7
High,A0A0H3NAU2,9,8
High,A0A0H3NN63,9,9
High,A0A0H3NU77,6,6
High,A0A0H3NPH0,6,4
High,A0A0H3NPN3,7,6
High,A0A0H3NPK6,10,10
High,A0A0H3NN23,9,8
High,A0A0H3NS81,11,9
High,A0A0H3NMW9,6,6
High,A0A0H3NJ17,7,7
High,A0A0H3NFI2,5,5
High,A0A0H3NCM8,9,2
High,A0A0H3NWH8,7,7
High,A0A0H3NHF6,5,5
High,A0A0H3NKE1,5,5
High,A0A0H3NJJ9,8,6
High,A0A0H3NDJ2,8,8
High,A0A0H3ND26,9,8
High,A0A0H3NIX5,8,8
High,A0A0H3NH96,9,8
High,A0A0H3NHU8,8,8
High,A0A0H3NLW5,9,6
High,A0A0H3NG60,5,4
High,A0A0H3NCJ4,8,8
High,A0A0H3NQ37,8,7
High,A0A0H3NC49,8,7
High,A0A0H3NDQ2,5,5
High,A0A0H3NCQ6,7,5
High,A0A0H3N9B4,8,7
High,A0A0H3NF40,7,7
High,A0A0H3NAD2,6,6
High,A0A0H3NNW3,9,9
High,A0A0H3NV54,6,4
High,A0A0H3NG11,8,7
High,A0A0H3NPF9,9,8
High,A0A0H3ND93,5,5
High,A0A0H3NB09,6,6
High,A0A0H3NMF7,7,6
High,A0A0H3NDI1,4,3
High,A0A0H3NMB9,5,5
High,A0A0H3NFT5,8,8
High,A0A0H3NM73,6,6
High,A0A0H3N8Y8,6,6
High,A0A0H3NGL0,9,8
High,A0A0H3NBY2,9,9
High,A0A0H3NH69,7,6
High,A0A0H3NWV8,5,5
High,A0A0H3NL37,6,6
High,A0A0H3NJ18,5,5
High,A0A0H3NE57,6,6
High,A0A0H3NFQ5,7,6
High,A0A0H3NG01,4,4
High,E1WFA1,4,4
High,A0A0H3NAM6,7,7
High,A0A0H3NJI3,4,4
High,A0A0H3NA48,4,4
High,A0A0H3NIN1,6,4
High,A0A0H3NIT6,4,4
