,infection,hp,md,lb36h
1,A0A0G2PMS1,A0A0H3NNZ4,A0A0H3NNZ4,A0A0H3NNZ4
2,A0A0H3NIB3,A0A0H3NIB3,A0A0H3NIB3,A0A0H3NIB3
3,A0A0H3NH09,A0A0H3N9T3,A0A0H3N9T3,A0A0H3N9T3
4,A0A0H3NNZ4,A0A0H3NEM4,A0A0H3NEM4,A0A0H3NEM4
5,A0A0H3NCG3,A0A0H3N957,A0A0H3N957,A0A0H3N957
6,A0A0H3NI82,A0A0H3N962,A0A0H3N962,A0A0H3N962
7,A0A0H3NMG4,A0A0H3NLV7,A0A0H3NLV7,A0A0H3NLV7
8,A0A0H3N9Z8,A0A0H3NGC8,A0A0H3NGC8,A0A0H3NGC8
9,A0A0H3NEM4,A0A0H3N8Z5,A0A0H3N8Z5,A0A0H3N8Z5
10,A0A0H3NIZ3,A0A0H3NJ45,A0A0H3NJ45,A0A0H3NJ45
11,A0A0H3N957,A0A0H3NCR8,A0A0H3NCR8,A0A0H3NCR8
12,A0A0H3NNA2,A0A0H3NAM6,A0A0H3NAM6,A0A0H3NAM6
13,A0A0H3NJI9,A0A0H3NCJ4,A0A0H3NCJ4,A0A0H3NCJ4
14,A0A0H3N950,A0A0H3NAG7,A0A0H3NAG7,A0A0H3NAG7
15,A0A0H3NJF2,A0A0H3NQV4,A0A0H3NQV4,A0A0H3NQV4
16,A0A0H3NIG9,A0A0H3NH78,A0A0H3NH78,A0A0H3NH78
17,A0A0H3NQV4,A0A0H3NBG3,A0A0H3NBG3,A0A0H3NBG3
18,A0A0H3NKQ9,A0A0H3NIF1,A0A0H3NIF1,A0A0H3NIF1
19,A0A0H3N962,A0A0H3NFB3,A0A0H3NFB3,A0A0H3NFB3
20,A0A0H3NCF8,A0A0H3NPX0,A0A0H3NPX0,A0A0H3NPX0
21,A0A0H3N9D1,A0A0H3N7M4,A0A0H3N7M4,A0A0H3N7M4
22,A0A0H3NAW8,A0A0H3NCG3,A0A0H3NCG3,A0A0H3NCG3
23,A0A0H3NT12,A0A0H3NNN9,A0A0H3NNN9,A0A0H3NNN9
24,A0A0H3N916,A0A0H3N9D1,A0A0H3N9D1,A0A0H3N9D1
25,A0A0H3NE44,A0A0H3NR16,A0A0H3NR16,A0A0H3NR16
