FDR,Accession,HP,MD,LB36h
High,A0A0H3NNZ4,428,210,366
High,A0A0H3NIB3,420,241,363
High,A0A0H3N9T3,189,115,176
High,A0A0H3NEM4,211,138,365
High,A0A0H3N957,304,210,286
High,A0A0H3N962,208,170,317
High,A0A0H3NLV7,204,113,229
High,A0A0H3NGC8,151,92,181
High,A0A0H3N8Z5,205,248,160
High,A0A0H3NJ45,192,124,214
High,A0A0H3NCR8,176,90,154
High,A0A0H3NAM6,156,84,147
High,A0A0H3NCJ4,167,73,179
High,A0A0H3NAG7,199,109,146
High,A0A0H3NQV4,161,85,172
High,A0A0H3NH78,157,164,121
High,A0A0H3NBG3,274,174,198
High,A0A0H3NIF1,217,110,227
High,A0A0H3NFB3,158,136,174
High,A0A0H3NPX0,122,65,113
High,A0A0H3N7M4,180,119,148
High,A0A0H3NCG3,196,154,260
High,A0A0H3NNN9,172,89,141
High,A0A0H3N9D1,236,285,171
High,A0A0H3NR16,264,271,138
High,A0A0H3NA75,176,101,218
High,A0A0H3NI82,302,247,428
High,E1WAU5,123,98,91
High,A0A0H3NIZ3,142,139,436
High,A0A0H3NRH8,158,88,118
High,A0A0H3NEB1,163,116,118
High,A0A0H3NBQ0,932,1170,794
High,A0A0H3NT12,168,108,194
High,A0A0H3NHZ9,145,70,140
High,A0A0H3NKB1,108,77,127
High,A0A0H3NMG4,131,110,215
High,A0A0H3NPU7,97,48,98
High,A0A0H3NC48,80,65,169
High,A0A0H3NIG9,149,88,185
High,A0A0H3NH09,187,188,315
High,A0A0H3NGZ5,114,72,111
High,A0A0H3NP98,106,69,104
High,A0A0H3NV46,153,194,96
High,A0A0H3NJI9,596,795,502
High,A0A0H3NE63,149,79,144
High,A0A0H3NJA8,111,80,162
High,A0A0H3NWH8,117,99,143
High,A0A0H3NPA2,191,188,108
High,A0A0H3NB09,148,103,127
High,A0A0H3NKQ9,162,115,166
High,A0A0H3NPF9,144,91,161
High,A0A0H3N9M7,115,79,181
High,A0A0H3NBY2,44,41,162
High,A0A0H3NHP0,126,83,137
