Geneid,E1,E2,E3,E4,E5,E6
thrL,0,1,0,0,0,0
thrA,43,96,157,1077,1252,1467
thrB,60,119,200,174,159,266
thrC,38,66,127,87,97,119
yaaA,63,128,192,42,43,65
SL1344_RS00030,40,64,106,3,9,12
tal,300,574,782,122,164,192
mog,46,118,181,13,10,25
satP,6,4,10,2,1,2
msyB,5,14,23,0,0,0
SL1344_RS00055,3,0,7,0,1,0
dnaK,29,65,100,183,199,260
dnaJ,9,13,16,8,16,14
SL1344_RS00070,0,1,4,0,0,0
SL1344_RS00075,0,0,0,0,0,0
SL1344_RS00080,0,0,0,0,0,0
SL1344_RS00085,0,2,1,0,0,0
SL1344_RS00090,16,30,60,0,7,4
SL1344_RS00095,3,7,27,0,0,2
SL1344_RS00100,1,2,0,0,0,0
SL1344_RS00105,1,3,5,0,0,0
bcfB,0,1,10,1,0,0
bcfC,10,9,13,1,0,6
SL1344_RS00120,7,13,10,0,0,6
SL1344_RS00125,0,0,2,1,0,0
SL1344_RS00130,10,10,30,0,0,5
bcfG,4,2,6,0,0,0
SL1344_RS00140,2,9,6,4,6,2
SL1344_RS00145,3,0,1,0,1,0
SL1344_RS00150,0,0,1,0,0,0
SL1344_RS00155,0,0,4,0,0,0
SL1344_RS00160,0,0,0,0,0,0
SL1344_RS00165,10,8,11,1,4,1
SL1344_RS00170,25,31,45,0,3,3
SL1344_RS00175,0,0,1,0,0,0
SL1344_RS00180,15,39,47,11,6,10
SL1344_RS00185,2,11,14,7,0,0
SL1344_RS00190,4,7,1,0,0,0
SL1344_RS00195,1,10,8,0,1,2
nhaA,9,38,34,35,50,40
nhaR,10,33,46,9,9,7
SL1344_RS00210,9,20,38,11,26,11
SL1344_RS00215,0,7,24,2,1,0
rpsT,4,7,27,8,3,8
SL1344_RS00225,0,3,15,0,0,0
ribF,22,47,78,9,8,36
ileS,60,151,240,208,262,279
lspA,13,40,39,21,14,41
fkpB,6,20,28,5,17,11
ispH,8,8,35,6,20,26
SL1344_RS00255,5,20,21,2,11,2
rihC,11,32,48,46,54,51
SL1344_RS00265,17,30,54,6,6,5
SL1344_RS00270,28,33,102,2,3,2
SL1344_RS00275,0,0,3,0,2,0
oadA,4,8,17,0,10,2
SL1344_RS00285,0,0,2,0,0,1
citS,1,1,10,1,0,0
citC,0,7,0,3,1,2
citD,2,3,1,3,0,8
citE,5,5,11,33,20,37
citF,2,6,5,77,135,101
citX,0,0,1,7,18,21
citG,18,31,53,24,11,12
dapB,11,34,64,15,6,6
carA,4,10,5,4,3,0
carB,12,7,27,31,34,45
caiF,3,3,28,1,3,0
caiE,0,1,2,0,1,5
caiD,0,2,1,3,5,1
caiC,2,4,7,1,0,0
caiA,2,1,1,3,2,1
caiT,0,2,2,0,0,0
SL1344_RS00385,2,0,6,2,1,1
SL1344_RS00390,0,1,17,0,0,0
SL1344_RS00395,5,0,14,2,5,7
fixX,0,1,0,0,0,0
SL1344_RS00405,5,9,10,0,2,2
SL1344_RS00410,1,2,1,1,0,3
SL1344_RS00415,93,151,266,4,2,9
SL1344_RS00420,34,59,97,0,3,6
SL1344_RS00430,7,12,34,0,0,2
kefF,27,67,89,1,3,3
kefC,59,107,130,2,3,11
folA,11,37,66,0,5,2
apaH,36,57,89,0,3,7
apaG,34,43,126,20,21,25
rsmA,87,160,286,23,34,29
pdxA,27,39,77,3,17,11
surA,121,273,487,64,83,101
lptD,422,841,1422,110,120,160
djlA,14,19,54,6,7,5
rluA,12,14,26,4,4,1
rapA,9,21,25,15,25,16
polB,54,117,194,12,21,11
SL1344_RS00500,14,16,21,1,0,3
SL1344_RS24895,0,0,0,0,0,0
SL1344_RS00505,0,3,1,0,2,0
araD,7,49,11,3,0,0
araA,9,27,27,1,0,0
araB,11,25,53,5,1,6
araC,31,102,119,10,8,16
SL1344_RS00530,0,7,7,2,1,0
thiQ,4,8,5,0,1,0
thiP,0,1,4,0,0,0
SL1344_RS00545,4,5,13,1,0,2
sgrR,22,54,96,13,3,6
sgrT,14,20,27,21,23,5
leuD,5,17,23,9,13,7
leuC,12,60,69,60,39,75
leuB,24,40,84,71,53,127
leuA,40,71,143,182,189,287
leuL,0,4,3,1,0,2
leuO,0,1,0,3,0,0
ilvI,13,19,44,34,18,33
ilvN,13,21,47,11,12,14
cra,28,93,115,30,24,42
mraZ,42,54,85,19,15,10
rsmH,89,190,301,67,78,71
ftsL,22,60,113,13,11,16
ftsI,58,106,206,30,67,61
murE,78,148,215,38,54,46
murF,70,113,199,58,43,49
mraY,14,35,63,9,15,15
murD,34,95,136,40,42,30
ftsW,24,45,81,16,27,25
murG,60,119,150,34,39,46
murC,34,105,186,69,57,93
SL1344_RS00660,33,107,201,33,34,40
ftsQ,42,80,137,5,8,8
ftsA,42,118,154,37,43,32
ftsZ,325,620,981,603,795,1048
lpxC,260,502,869,382,421,520
secM,22,43,62,7,17,7
secA,46,92,167,100,130,198
mutT,1,0,0,2,0,0
yacG,10,18,28,0,2,4
zapD,18,44,42,14,10,13
coaE,41,97,138,11,10,13
SL1344_RS00720,14,32,61,46,64,89
hofC,9,10,22,0,2,1
gspE,8,9,10,5,7,7
ppdD,1,2,4,7,2,8
nadC,4,27,24,3,4,21
ampD,54,135,193,35,36,46
ampE,23,73,109,57,82,73
SL1344_RS00755,6,14,18,1,1,6
SL1344_RS00760,1,2,8,3,0,4
aroP,36,78,148,280,335,474
pdhR,5,17,23,3,3,1
aceE,221,511,818,993,1178,1505
aceF,68,134,212,214,218,227
lpdA,1133,2179,3790,609,837,1021
SL1344_RS00790,0,0,1,0,2,0
SL1344_RS00795,6,1,0,0,2,1
acnB,1143,2576,4113,1870,2268,2751
SL1344_RS00810,15,58,75,9,17,0
SL1344_RS00815,70,89,169,5,11,16
SL1344_RS00820,12,19,27,8,7,18
SL1344_RS00825,15,49,78,5,13,15
SL1344_RS00830,42,76,121,13,17,30
SL1344_RS00835,65,79,188,10,15,16
speD,10,8,18,6,10,17
speE,7,17,18,44,70,66
SL1344_RS00850,2,10,14,1,1,7
cueO,27,54,108,81,81,132
SL1344_RS00860,48,119,156,33,39,61
hpt,1,1,13,0,2,2
can,35,56,104,39,53,61
SL1344_RS00875,28,55,83,7,9,7
SL1344_RS00880,12,31,45,8,9,7
SL1344_RS00885,6,9,17,0,0,4
SL1344_RS00890,0,5,10,6,0,0
SL1344_RS00895,1,2,2,0,0,0
SL1344_RS00900,3,5,11,0,0,0
SL1344_RS00905,0,0,0,0,0,0
SL1344_RS00910,1,4,7,0,1,1
panD,11,21,29,7,18,6
panC,3,4,12,3,1,3
panB,1,10,20,6,3,11
folK,1,3,3,5,0,0
pcnB,8,13,25,3,8,10
gluQRS,3,10,20,1,0,0
dksA,265,482,794,49,55,60
sfsA,316,479,788,5,9,12
thpR,4,26,34,7,6,6
hrpB,37,57,96,16,9,18
mrcB,41,63,60,57,40,67
fhuA,58,105,168,13,4,3
fhuC,0,2,9,0,0,1
fhuD,0,1,3,0,0,0
fhuB,0,0,2,0,1,0
stfA,2,1,3,0,0,0
SL1344_RS00995,8,7,21,1,1,0
stfD,2,0,3,0,0,0
