FDR,Accession
High,A0A0G2PMS1
High,A0A0H3NIB3
High,A0A0H3NH09
High,A0A0H3NNZ4
High,A0A0H3NCG3
High,A0A0H3NI82
High,A0A0H3NMG4
High,A0A0H3N9Z8
High,A0A0H3NEM4
High,A0A0H3NIZ3
High,A0A0H3N957
High,A0A0H3NNA2
High,A0A0H3NJI9
High,A0A0H3N950
High,A0A0H3NJF2
High,A0A0H3NIG9
High,A0A0H3NQV4
High,A0A0H3NKQ9
High,A0A0H3N962
High,A0A0H3NCF8
High,A0A0H3N9D1
High,A0A0H3NAW8
High,A0A0H3NT12
High,A0A0H3N916
High,A0A0H3NE44
High,A0A0H3NI94
High,A0A0H3N9T8
High,A0A0H3NVR3
High,A0A0H3NFQ6
High,A0A0H3NCD1
High,A0A0H3NEC2
High,A0A0H3NLV7
High,A0A0H3NMW4
High,A0A0H3NLM4
High,A0A0H3N7M4
High,A0A0H3NJ45
High,A0A0H3NCZ1
High,A0A0H3NBQ0
High,A0A0H3NCT0
High,A0A0H3NSB3
High,A0A0H3NAG7
High,A0A0H3N8E3
High,A0A0H3NIL3
High,A0A0H3NBG3
High,A0A0H3NIF1
High,A0A0H3NIE0
High,A0A0H3NMB1
High,A0A0H3NI01
High,A0A0H3NGS0
High,A0A0H3NE21
High,A0A0H3NN94
High,A0A0H3NID6
High,A0A0H3NDR3
High,A0A0H3NHN2
High,A0A0H3NHF2
High,A0A0H3NSU0
High,A0A0H3NJK0
High,A0A0H3NFY6
High,A0A0H3NIQ0
High,A0A0H3NFB3
High,A0A0H3NBL7
High,A0A0H3NA75
High,A0A0H3NKH8
High,A0A0H3NIN9
High,A0A0H3NIL5
High,A0A0H3NFL6
High,A0A0H3N9D6
High,A0A0H3NPM9
High,A0A0H3NAZ4
High,A0A0H3NRH8
High,A0A0H3NIX6
High,A0A0H3NFW3
High,A0A0H3NR16
High,A0A0H3NM77
High,A0A0H3NMU6
High,A0A0H3N9N5
High,A0A0H3ND82
High,A0A0H3NFR8
High,A0A0H3N884
High,A0A0H3NEM7
High,A0A0H3NFV7
High,A0A0H3N8D8
High,A0A0H3N9M7
High,A0A0H3NCM7
High,A0A0H3NI16
High,A0A0H3N7F3
High,A0A0H3NF48
High,A0A0H3NC48
High,A0A0H3NJ70
High,A0A0H3NFG7
High,A0A0H3NIG4
High,A0A0H3NGS5
High,A0A0H3NIM7
High,A0A0H3NC31
High,A0A0H3NJQ1
High,A0A0H3NBP3
High,A0A0H3NDK2
High,A0A0H3NTD0
High,A0A0H3NGG9
High,A0A0H3NE63
High,A0A0H3NDK6
High,A0A0H3NDW4
High,A0A0H3NGC8
High,A0A0H3NB12
High,A0A0H3NJ64
High,A0A0H3NIX1
High,A0A0H3NKT7
High,A0A0H3NMF0
High,A0A0H3NE47
High,A0A0H3NM65
High,A0A0H3NCY7
High,A0A0H3NEC8
High,A0A0H3NGQ1
High,A0A0H3N8Z5
High,A0A0H3NME1
High,A0A0H3NDL1
High,A0A0H3NKD1
High,A0A0H3NI69
High,A0A0H3NAU2
High,A0A0H3NN63
High,A0A0H3NU77
High,A0A0H3NPH0
High,A0A0H3NPN3
High,A0A0H3NPK6
High,A0A0H3NN23
High,A0A0H3NS81
High,A0A0H3NMW9
High,A0A0H3NJ17
High,A0A0H3NFI2
High,A0A0H3NCM8
High,A0A0H3NWH8
High,A0A0H3NHF6
High,A0A0H3NKE1
High,A0A0H3NJJ9
High,A0A0H3NDJ2
High,A0A0H3ND26
High,A0A0H3NIX5
High,A0A0H3NH96
High,A0A0H3NHU8
High,A0A0H3NLW5
High,A0A0H3NG60
High,A0A0H3NCJ4
High,A0A0H3NQ37
High,A0A0H3NC49
High,A0A0H3NDQ2
High,A0A0H3NCQ6
High,A0A0H3N9B4
High,A0A0H3NF40
High,A0A0H3NAD2
High,A0A0H3NNW3
High,A0A0H3NV54
High,A0A0H3NG11
High,A0A0H3NPF9
High,A0A0H3ND93
High,A0A0H3NB09
High,A0A0H3NMF7
High,A0A0H3NDI1
High,A0A0H3NMB9
High,A0A0H3NFT5
High,A0A0H3NM73
High,A0A0H3N8Y8
High,A0A0H3NGL0
High,A0A0H3NBY2
High,A0A0H3NH69
High,A0A0H3NWV8
High,A0A0H3NL37
High,A0A0H3NJ18
High,A0A0H3NE57
High,A0A0H3NFQ5
High,A0A0H3NG01
High,E1WFA1
High,A0A0H3NAM6
High,A0A0H3NJI3
High,A0A0H3NA48
High,A0A0H3NIN1
High,A0A0H3NIT6
High,A0A0H3NED8
High,A0A0H3NVV1
High,A0A0H3NEN1
High,A0A0H3NJL8
High,A0A0H3NKE0
High,A0A0H3NMI2
High,A0A0H3NXX3
High,A0A0H3N9N1
High,A0A0H3NJU7
High,A0A0H3NMJ6
High,A0A0H3NAC8
High,A0A0H3NS28
High,A0A0H3NIR2
High,A0A0H3NDK9
High,A0A0H3NB31
High,A0A0H3NCW6
High,A0A0H3NF10
High,A0A0H3NSV8
High,A0A0H3NIU7
High,A0A0H3NC19
High,A0A0H3N9L3
High,A0A0H3NFX0
High,A0A0H3NV83
High,A0A0H3NER6
High,A0A0H3NWA8
High,A0A0H3NGG8
High,A0A0H3NG44
High,A0A0H3NEJ1
High,A0A0H3NJG5
High,A0A0H3NA94
High,A0A0H3NHH6
High,A0A0H3NG02
High,A0A0H3NGB7
High,A0A0H3NGF6
High,A0A0H3NXK9
