FDR,Accession
High,A0A0H3NNZ4
High,A0A0H3NIB3
High,A0A0H3N9T3
High,A0A0H3NEM4
High,A0A0H3N957
High,A0A0H3N962
High,A0A0H3NLV7
High,A0A0H3NGC8
High,A0A0H3N8Z5
High,A0A0H3NJ45
High,A0A0H3NCR8
High,A0A0H3NAM6
High,A0A0H3NCJ4
High,A0A0H3NAG7
High,A0A0H3NQV4
High,A0A0H3NH78
High,A0A0H3NBG3
High,A0A0H3NIF1
High,A0A0H3NFB3
High,A0A0H3NPX0
High,A0A0H3N7M4
High,A0A0H3NCG3
High,A0A0H3NNN9
High,A0A0H3N9D1
High,A0A0H3NR16
High,A0A0H3NA75
High,A0A0H3NI82
High,E1WAU5
High,A0A0H3NIZ3
High,A0A0H3NRH8
High,A0A0H3NEB1
High,A0A0H3NBQ0
High,A0A0H3NT12
High,A0A0H3NHZ9
High,A0A0H3NKB1
High,A0A0H3NMG4
High,A0A0H3NPU7
High,A0A0H3NC48
High,A0A0H3NIG9
High,A0A0H3NH09
High,A0A0H3NGZ5
High,A0A0H3NP98
High,A0A0H3NV46
High,A0A0H3NJI9
High,A0A0H3NE63
High,A0A0H3NJA8
High,A0A0H3NWH8
High,A0A0H3NPA2
High,A0A0H3NB09
High,A0A0H3NKQ9
High,A0A0H3NPF9
High,A0A0H3N9M7
High,A0A0H3NBY2
High,A0A0H3NHP0
High,A0A0H3NH15
High,A0A0H3NMU6
High,A0A0H3N916
High,A0A0H3NEC2
High,A0A0H3NLW5
High,A0A0H3NP26
High,A0A0H3NB12
High,A0A0H3N9Z8
High,A0A0H3NFL6
High,A0A0H3ND82
High,A0A0G2PMS1
High,A0A0H3NIU7
High,A0A0H3NJD6
High,A0A0H3NFQ6
High,A0A0H3NAD2
High,A0A0H3NV38
High,A0A0H3NJF2
High,A0A0H3NHU8
High,A0A0H3NBQ5
High,A0A0H3NDK2
High,A0A0H3NJN6
High,A0A0H3NVE4
High,A0A0H3N7V6
High,A0A0H3NKH8
High,A0A0H3NM73
High,A0A0H3NDJ2
High,A0A0H3NDG3
High,A0A0H3NMW4
High,A0A0H3NSB3
High,A0A0H3NH05
High,A0A0H3NHQ9
High,A0A0H3NJ42
High,A0A0H3NP22
High,A0A0H3NE47
High,A0A0H3NTD0
High,A0A0H3NPK6
High,A0A0H3N8B3
High,A0A0H3N8E3
High,A0A0H3NJQ1
High,A0A0H3NAZ4
High,A0A0H3NR00
High,A0A0H3NCT0
High,A0A0H3NIQ0
High,A0A0H3NR26
High,A0A0H3NCD1
High,A0A0H3NGF6
High,A0A0H3NMW9
High,A0A0H3NIL3
High,A0A0H3NHU2
High,A0A0H3NS81
High,A0A0H3NDV2
High,A0A0H3NEB4
High,A0A0H3NB32
High,A0A0H3NMB6
High,A0A0H3NDR3
High,A0A0H3NDL1
High,A0A0H3NCC6
High,A0A0H3NAU2
High,A0A0H3NFY6
High,A0A0H3NBG4
High,A0A0H3NKE1
High,A0A0H3NFH5
High,A0A0H3N852
High,A0A0H3NIR2
High,A0A0H3NJ64
High,A0A0H3NI84
High,A0A0H3NM77
High,A0A0H3NIK3
High,A0A0H3NH96
High,A0A0H3NFI2
High,A0A0H3NS35
High,A0A0H3NCW1
High,A0A0H3NEF6
High,A0A0H3NGG8
High,A0A0H3NL68
High,A0A0H3NDK6
High,A0A0H3NA16
High,A0A0H3NM87
High,A0A0H3NJK0
High,A0A0H3NE85
High,A0A0H3N8D8
High,A0A0H3NIH1
High,A0A0H3NVR3
High,A0A0H3NLM4
High,E1WAC6
High,A0A0H3NIN9
High,A0A0H3NH79
High,E1WAU4
High,A0A0H3NL37
High,A0A0H3NL52
High,E1WFA1
High,A0A0H3N8Z2
High,A0A0H3N8H3
High,A0A0H3NEM0
High,A0A0H3NFR8
High,A0A0H3NK42
High,A0A0H3NDW4
High,A0A0H3NIW9
High,A0A0H3NEY3
High,A0A0H3NKD1
High,E1WGF0
High,A0A0H3ND04
High,A0A0H3NBD6
High,A0A0H3NCW6
High,A0A0H3NYL3
High,A0A0H3NCF4
High,A0A0H3NH98
High,A0A0H3NEE6
High,A0A0H3NFV7
High,A0A0H3NXX3
High,A0A0H3NMB1
High,A0A0H3N7N9
High,A0A0H3NIX1
High,A0A0H3NPM9
High,A0A0H3N9S2
High,A0A0H3NFA4
High,A0A0H3NI16
High,A0A0H3NJA1
High,A0A0H3NCF8
High,A0A0H3NFZ2
High,A0A0H3NHN2
High,A0A0H3NDS8
High,A0A0H3NGY2
High,A0A0H3NF80
High,A0A0H3NDQ0
High,A0A0H3NNA2
High,A0A0H3NH01
High,A0A0H3NCP6
High,A0A0H3NAW8
High,A0A0H3NPF5
High,A0A0H3NIM7
High,A0A0H3NK71
High,A0A0H3ND48
High,A0A0H3NHZ1
High,A0A0H3NDK9
High,A0A0H3NEX0
High,A0A0H3NH69
High,A0A0H3NDH4
High,A0A0H3NDZ5
High,A0A0H3NEQ4
High,A0A0H3N950
High,A0A0H3NME1
High,A0A0H3NDR5
High,A0A0H3NJ17
High,A0A0H3NH34
High,A0A0H3NHT5
High,A0A0H3NFL3
High,A0A0H3NG19
High,A0A0H3NQ37
High,A0A0H3NI03
High,A0A0H3NDN0
High,A0A0H3N9B0
High,A0A0H3NKT7
High,A0A0H3N7F3
High,A0A0H3NGZ8
High,A0A0H3NIG4
High,A0A0H3NNW3
High,A0A0H3NH83
High,A0A0H3NIW5
High,A0A0H3NGL0
High,A0A0H3NED8
High,A0A0H3NH38
High,A0A0H3NGG9
High,A0A0H3NF48
High,A0A0H3NCZ1
High,A0A0H3P192
High,A0A0H3NGR7
High,A0A0H3NLS6
High,A0A0H3NIH0
High,A0A0H3NCQ6
High,A0A0H3NAI9
High,A0A0H3NJJ6
High,A0A0H3ND26
High,A0A0H3NBC6
High,A0A0H3NPT7
High,A0A0H3NCM7
High,A0A0H3NC50
High,A0A0H3NFQ5
High,A0A0H3NE98
High,A0A0H3N9M5
High,A0A0H3NHD1
High,A0A0H3NJL8
High,A0A0H3N9C1
High,A0A0H3NIV6
High,A0A0H3NKR7
High,A0A0H3NIX6
High,A0A0H3NFE8
High,A0A0H3NXK9
High,A0A0H3NEM7
High,A0A0H3NCU4
High,A0A0H3NI01
High,A0A0H3NGG7
High,A0A0H3NEC5
High,A0A0H3NF14
High,A0A0H3NL96
High,A0A0H3NEH2
High,A0A0H3NKX9
High,A0A0H3NL27
High,A0A0H3NT57
High,A0A0H3NJJ9
High,A0A0H3NJR8
High,A0A0H3NF87
High,A0A0H3NA02
High,A0A0H3N9L3
High,A0A0H3NDW6
High,A0A0H3NJ70
High,A0A0H3NHH6
High,A0A0H3N9N5
High,A0A0H3NBS8
High,A0A0H3NS28
High,A0A0H3NM16
High,A0A0H3NJK9
High,A0A0H3NHF8
High,A0A0H3NRE5
High,A0A0H3NCF5
High,A0A0H3NDL9
High,A0A0H3NLC1
High,A0A0H3NWA8
High,A0A0H3NPR4
High,A0A0H3NHD5
High,A0A0H3N9T8
High,A0A0H3NQ01
High,A0A0H3NIU8
High,A0A0H3NKA6
High,A0A0H3NWY8
High,A0A0H3NG11
High,A0A0H3NDZ2
High,A0A0H3NF64
High,A0A0H3NL58
High,A0A0H3NER6
High,A0A0H3P188
High,A0A0H3NAA4
High,A0A0H3N7Z5
High,A0A0H3NHD4
High,A0A0H3NKZ8
High,A0A0H3NHA5
High,A0A0H3NBR8
High,A0A0H3NDF2
High,A0A0H3NNT3
High,A0A0H3NN31
High,A0A0H3NJU7
High,A0A0H3NHY5
High,A0A0H3N9S4
High,A0A0H3NF89
High,A0A0H3NLA5
High,A0A0H3NBL7
High,A0A0H3NLE0
High,A0A0H3NFG7
High,A0A0H3ND68
High,A0A0H3NDE2
High,A0A0H3NEA5
High,A0A0H3NC31
High,A0A0H3NEY4
High,A0A0H3NJ76
High,A0A0H3NJ18
High,A0A0H3NDR9
High,A0A0H3NAC8
High,A0A0H3NG09
High,A0A0H3NC01
High,A0A0H3NJQ5
High,A0A0H3N850
High,A0A0H3NB00
High,A0A0H3N804
High,A0A0H3NGW8
High,A0A0H3NI94
High,A0A0H3NLH5
High,A0A0H3NKD9
High,A0A0H3NC49
High,A0A0H3ND45
High,A0A0H3NJB1
High,A0A0H3NBB0
High,A0A0H3P081
High,A0A0H3NL38
High,A0A0H3NM79
High,A0A0H3NNT2
High,A0A0H3N9M1
High,A0A0H3P177
High,A0A0H3NGZ2
High,A0A0H3N9I3
High,A0A0H3NFL2
High,A0A0H3NH51
High,A0A0H3NGX1
High,A0A0H3N9N1
High,A0A0H3NHR4
High,A0A0H3NRD4
High,A0A0H3NRK4
High,A0A0H3NIE0
High,A0A0H3NGY0
High,A0A0H3NEJ1
High,A0A0H3NNR2
High,A0A0H3NUB6
High,A0A0H3NA37
High,A0A0H3NAK6
High,E1WAC8
High,A0A0H3NE44
High,A0A0H3N8Y8
High,A0A0H3NH80
High,A0A0H3N8H8
High,A0A0H3NLX1
High,A0A0H3NVV1
High,A0A0H3NMB9
High,A0A0H3NAY0
High,A0A0H3NDZ7
High,A0A0H3NA94
High,A0A0H3N9S6
